# Noms de la població. 2020
# Comarques Gironines
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=c2
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00271;D;ELVIRA;443;0,58
00272;D;FATOUMATA;439;0,58
00273;D;INÉS;437;0,58
00274;H;NARCISO;436;0,57
00275;H;GENÍS;431;0,57
00276;D;ÈLIA/ELIA;430;0,57
00277;D;AYA;429;0,57
00278;H;NICOLÀS/NICOLÁS;428;0,56
00279;H;IZAN;425;0,56
00280;D;ELSA;424;0,56
00281;D;MARIA CRISTINA/MARÍA CRISTINA;423;0,56
00282;D;JOAQUIMA;418;0,55
00283;D;MÀRIAM/MARIAM;417;0,55
00284;D;MARIA LOURDES/MARÍA LOURDES;416;0,55
00285;H;DÍDAC;412;0,54
00285;H;MAX;412;0,54
00287;H;ABEL;411;0,54
00288;D;CARLOTA;410;0,54
00289;H;MARCEL;409;0,54
00290;H;HASSAN;405;0,53
00291;H;DOMINGO;402;0,53
00291;D;EVA MARIA/EVA MARÍA;402;0,53
00293;H;ÀYOUB/ÁYOUB;401;0,53
00294;H;RAYAN;398;0,52
00295;D;BLANCA;394;0,52
00296;D;ASUNCIÓN;391;0,52
00296;D;MARIA MONTSERRAT/MARÍA MONTSERRAT;391;0,52
00296;D;TRINIDAD;391;0,52
00299;D;GEORGINA;387;0,51
00300;D;ESTEFANIA/ESTEFANÍA;386;0,51
00300;H;MUSA;386;0,51
00302;D;REMEDIOS;385;0,51
00303;H;JULIO;383;0,50
00304;D;CONSUELO;379;0,50
00305;H;AARON/AARÓN;378;0,50
00306;D;BRUNA;375;0,49
00306;H;IAN;375;0,49
00308;D;MARIA VICTÒRIA/MARÍA VICTORIA;374;0,49
